entity:mpox_illumina
SRR22450503
SRR22450504
SRR22450505
SRR22450507
SRR22450508
SRR22450509
SRR22450510
SRR22450511
SRR22450515
SRR22450516
SRR22450517
SRR22450518
SRR22450519
SRR22450520
SRR22450521
SRR22450522
SRR22450523
SRR28876543
SRR29024830
SRR29099250
SRR29099251
SRR29099252
SRR29162974
SRR29162975
SRR29162976
